County,DMV Count,DMV Per Capita Index,Population 18+ Estimate
Albany,2,0.8463602278,236306
Allegany,0,0,38021
Bronx,3,0.2788228471,1075952
Broome,3,1.9252242886,155826
Cattaraugus,3,4.8084628947,62390
Cayuga,1,1.6086480921,62164
Chautauqua,3,2.8627593183,104794
Chemung,1,1.4492123531,69003
Chenango,1,2.5503047614,39211
Clinton,1,1.5674718247,63797
Columbia,1,2.0402750291,49013
Cortland,1,2.6093309675,38324
Delaware,4,10.7322046631,37271
Dutchess,5,2.1636685433,231089
Erie,10,1.4007367876,713910
Essex,2,6.5395808129,30583
Franklin,3,7.4846564543,40082
Fulton,2,4.6364985163,43136
Genesee,1,2.1427500054,46669
Greene,1,2.6154047339,38235
Hamilton,1,26.6169816343,3757
Herkimer,2,3.9905822259,50118
Jefferson,2,2.2151583284,90287
Kings,4,0.2055867162,1945651
Lewis,1,4.7526258258,21041
Livingston,2,3.9372403882,50797
Madison,1,1.7528483786,57050
Monroe,7,1.2106411902,578206
Montgomery,1,2.5634452704,39010
Nassau,3,0.2883096215,1040548
New York,7,0.568225173,1231906
Niagara,3,1.7840894899,168153
Oneida,3,1.6442590695,182453
Onondanga,3,0.8269337847,362786
Orange,3,1.0359080252,289601
Orleans,1,3.0019212296,33312
Oswego,2,2.108503595,94854
Otsego,2,4.1353927589,48363
Putnam,1,1.2910722355,77455
Queens,6,0.3462553922,1732825
Rensselaer,2,1.6149349181,123844
Rockland,1,#DIV/0!,0
Richmond,0,0,364109
Saratoga,3,1.7585921883,170591
Schenectady,1,0.8320021299,120192
Schoharie,1,3.9309721294,25439
Schuyler,1,7.0180363534,14249
Seneca,1,3.6519008144,27383
St. Lawrence,4,4.5999218013,86958
Staten Island,2,#DIV/0!,0
Steuben,3,3.9014240198,76895
Suffolk,6,0.5172262192,1160034
Sullivan,2,3.3201082355,60239
Tioga,1,2.5180037266,39714
Tompkins,1,1.2675074466,78895
Ulster,2,1.4108252622,141761
Warren,1,1.9592092631,51041
Washington,1,2.0364110292,49106
Wayne,1,1.3728343538,72842
Westchester,4,0.542541345,737271
Wyoming,1,3.0538080987,32746
Yates,1,5.0787201625,19690
TOTAL NYS,143,0.949982618,15052907
Ontario,2,2.3854677306,83841
